"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Female"	"F"	"Mississippi"	"28"	41	1464581	2.7994
	"1999"	"1999"	"Female"	"F"	"Missouri"	"29"	80	2860166	2.7970
	"1999"	"1999"	"Female"	"F"	"Montana"	"30"	17	450543	Unreliable
	"1999"	"1999"	"Female"	"F"	"Nebraska"	"31"	20	865531	2.3107
	"1999"	"1999"	"Female"	"F"	"Nevada"	"32"	62	949422	6.5303
	"1999"	"1999"	"Female"	"F"	"New Hampshire"	"33"	32	621409	5.1496
	"1999"	"1999"	"Female"	"F"	"New Jersey"	"34"	114	4304271	2.6485
	"1999"	"1999"	"Female"	"F"	"New Mexico"	"35"	81	918661	8.8172
	"1999"	"1999"	"Female"	"F"	"New York"	"36"	276	9777654	2.8228
	"1999"	"1999"	"Female"	"F"	"North Carolina"	"37"	149	4062710	3.6675
	"1999"	"1999"	"Female"	"F"	"North Dakota"	"38"	14	322617	Unreliable
	"1999"	"1999"	"Female"	"F"	"Ohio"	"39"	115	5835017	1.9709
	"1999"	"1999"	"Female"	"F"	"Oklahoma"	"40"	61	1748783	3.4881
	"1999"	"1999"	"Female"	"F"	"Oregon"	"41"	71	1712226	4.1466
	"1999"	"1999"	"Female"	"F"	"Pennsylvania"	"42"	106	6347064	1.6701
	"1999"	"1999"	"Female"	"F"	"Rhode Island"	"44"	16	540724	Unreliable
	"1999"	"1999"	"Female"	"F"	"South Carolina"	"45"	97	2045606	4.7419
	"1999"	"1999"	"Female"	"F"	"South Dakota"	"46"	26	378500	6.8692
	"1999"	"1999"	"Female"	"F"	"Tennessee"	"47"	72	2897466	2.4849
	"1999"	"1999"	"Female"	"F"	"Texas"	"48"	229	10360202	2.2104
	"1999"	"1999"	"Female"	"F"	"Utah"	"49"	30	1100167	2.7269
	"1999"	"1999"	"Female"	"F"	"Vermont"	"50"	Suppressed	308398	Suppressed
	"1999"	"1999"	"Female"	"F"	"Virginia"	"51"	62	3569683	1.7368
	"1999"	"1999"	"Female"	"F"	"Washington"	"53"	173	2934901	5.8946
	"1999"	"1999"	"Female"	"F"	"West Virginia"	"54"	20	931809	2.1464
	"1999"	"1999"	"Female"	"F"	"Wisconsin"	"55"	98	2701525	3.6276
	"1999"	"1999"	"Female"	"F"	"Wyoming"	"56"	13	244518	Unreliable
	"1999"	"1999"	"Male"	"M"	"Alabama"	"01"	199	2136882	9.3126
	"1999"	"1999"	"Male"	"M"	"Alaska"	"02"	62	323513	19.1646
	"1999"	"1999"	"Male"	"M"	"Arizona"	"04"	353	2505524	14.0889
	"1999"	"1999"	"Male"	"M"	"Arkansas"	"05"	92	1292415	7.1185
	"1999"	"1999"	"Male"	"M"	"California"	"06"	2484	16699043	14.8751
	"1999"	"1999"	"Male"	"M"	"Colorado"	"08"	331	2124660	15.5790
	"1999"	"1999"	"Male"	"M"	"Connecticut"	"09"	139	1639253	8.4795
	"1999"	"1999"	"Male"	"M"	"Delaware"	"10"	47	376258	12.4914
	"1999"	"1999"	"Male"	"M"	"District of Columbia"	"11"	53	268416	19.7455
	"1999"	"1999"	"Male"	"M"	"Florida"	"12"	976	7685574	12.6991
	"1999"	"1999"	"Male"	"M"	"Georgia"	"13"	355	3949934	8.9875
	"1999"	"1999"	"Male"	"M"	"Hawaii"	"15"	29	608470	4.7661
	"1999"	"1999"	"Male"	"M"	"Idaho"	"16"	53	638876	8.2958
	"1999"	"1999"	"Male"	"M"	"Illinois"	"17"	495	6045670	8.1877
	"1999"	"1999"	"Male"	"M"	"Indiana"	"18"	238	2961618	8.0361
	"1999"	"1999"	"Male"	"M"	"Iowa"	"19"	125	1429411	8.7449
	"1999"	"1999"	"Male"	"M"	"Kansas"	"20"	100	1322294	7.5626
	"1999"	"1999"	"Male"	"M"	"Kentucky"	"21"	197	1961652	10.0426
	"1999"	"1999"	"Male"	"M"	"Louisiana"	"22"	233	2158067	10.7967
	"1999"	"1999"	"Male"	"M"	"Maine"	"23"	82	616210	13.3072
	"1999"	"1999"	"Male"	"M"	"Maryland"	"24"	235	2537581	9.2608
	"1999"	"1999"	"Male"	"M"	"Massachusetts"	"25"	268	3042515	8.8085
	"1999"	"1999"	"Male"	"M"	"Michigan"	"26"	474	4849346	9.7745
	"1999"	"1999"	"Male"	"M"	"Minnesota"	"27"	231	2410550	9.5829
	"1999"	"1999"	"Male"	"M"	"Mississippi"	"28"	114	1363827	8.3588
	"1999"	"1999"	"Male"	"M"	"Missouri"	"29"	319	2701782	11.8070
	"1999"	"1999"	"Male"	"M"	"Montana"	"30"	59	446964	13.2002
	"1999"	"1999"	"Male"	"M"	"Nebraska"	"31"	70	839233	8.3409
	"1999"	"1999"	"Male"	"M"	"Nevada"	"32"	192	985296	19.4865
	"1999"	"1999"	"Male"	"M"	"New Hampshire"	"33"	57	600605	9.4904
	"1999"	"1999"	"Male"	"M"	"New Jersey"	"34"	355	4055321	8.7539
	"1999"	"1999"	"Male"	"M"	"New Mexico"	"35"	212	889421	23.8357
	"1999"	"1999"	"Male"	"M"	"New York"	"36"	966	9105071	10.6095
	"1999"	"1999"	"Male"	"M"	"North Carolina"	"37"	542	3886651	13.9452
	"1999"	"1999"	"Male"	"M"	"North Dakota"	"38"	38	321642	11.8144
	"1999"	"1999"	"Male"	"M"	"Ohio"	"39"	443	5500437	8.0539
	"1999"	"1999"	"Male"	"M"	"Oklahoma"	"40"	184	1688364	10.8981
	"1999"	"1999"	"Male"	"M"	"Oregon"	"41"	234	1681715	13.9144
	"1999"	"1999"	"Male"	"M"	"Pennsylvania"	"42"	350	5916741	5.9154
	"1999"	"1999"	"Male"	"M"	"Rhode Island"	"44"	54	499678	10.8070
	"1999"	"1999"	"Male"	"M"	"South Carolina"	"45"	331	1929076	17.1585
	"1999"	"1999"	"Male"	"M"	"South Dakota"	"46"	54	371912	14.5196
	"1999"	"1999"	"Male"	"M"	"Tennessee"	"47"	323	2741240	11.7830
	"1999"	"1999"	"Male"	"M"	"Texas"	"48"	951	10198018	9.3253
	"1999"	"1999"	"Male"	"M"	"Utah"	"49"	97	1103315	8.7917
	"1999"	"1999"	"Male"	"M"	"Vermont"	"50"	32	296285	10.8004
	"1999"	"1999"	"Male"	"M"	"Virginia"	"51"	271	3430491	7.8997
	"1999"	"1999"	"Male"	"M"	"Washington"	"53"	393	2907663	13.5160
	"1999"	"1999"	"Male"	"M"	"West Virginia"	"54"	97	879990	11.0229
	"1999"	"1999"	"Male"	"M"	"Wisconsin"	"55"	258	2631141	9.8056
	"1999"	"1999"	"Male"	"M"	"Wyoming"	"56"	47	247262	19.0082
	"2000"	"2000"	"Female"	"F"	"Alabama"	"01"	61	2300596	2.6515
	"2000"	"2000"	"Female"	"F"	"Alaska"	"02"	31	302820	10.2371
	"2000"	"2000"	"Female"	"F"	"Arizona"	"04"	113	2569575	4.3976
	"2000"	"2000"	"Female"	"F"	"Arkansas"	"05"	22	1368707	1.6074
	"2000"	"2000"	"Female"	"F"	"California"	"06"	812	16996756	4.7774
	"2000"	"2000"	"Female"	"F"	"Colorado"	"08"	124	2135278	5.8072
	"2000"	"2000"	"Female"	"F"	"Connecticut"	"09"	45	1756246	2.5623
	"2000"	"2000"	"Female"	"F"	"Delaware"	"10"	17	403059	Unreliable
	"2000"	"2000"	"Female"	"F"	"District of Columbia"	"11"	29	302693	9.5807
	"2000"	"2000"	"Female"	"F"	"Florida"	"12"	347	8184663	4.2396
	"2000"	"2000"	"Female"	"F"	"Georgia"	"13"	129	4159340	3.1015
	"2000"	"2000"	"Female"	"F"	"Hawaii"	"15"	10	602866	Unreliable
	"2000"	"2000"	"Female"	"F"	"Idaho"	"16"	31	645293	4.8040
	"2000"	"2000"	"Female"	"F"	"Illinois"	"17"	131	6338957	2.0666
	"2000"	"2000"	"Female"	"F"	"Indiana"	"18"	74	3098011	2.3886
	"2000"	"2000"	"Female"	"F"	"Iowa"	"19"	31	1490809	2.0794
	"2000"	"2000"	"Female"	"F"	"Kansas"	"20"	32	1359944	2.3530
	"2000"	"2000"	"Female"	"F"	"Kentucky"	"21"	50	2066401	2.4197
	"2000"	"2000"	"Female"	"F"	"Louisiana"	"22"	58	2306073	2.5151
	"2000"	"2000"	"Female"	"F"	"Maine"	"23"	11	654614	Unreliable
	"2000"	"2000"	"Female"	"F"	"Maryland"	"24"	74	2738692	2.7020
	"2000"	"2000"	"Female"	"F"	"Massachusetts"	"25"	72	3290281	2.1883
	"2000"	"2000"	"Female"	"F"	"Michigan"	"26"	172	5065349	3.3956
	"2000"	"2000"	"Female"	"F"	"Minnesota"	"27"	83	2483848	3.3416
	"2000"	"2000"	"Female"	"F"	"Mississippi"	"28"	44	1471104	2.9910
	"2000"	"2000"	"Female"	"F"	"Missouri"	"29"	73	2875034	2.5391
	"2000"	"2000"	"Female"	"F"	"Montana"	"30"	23	452715	5.0805
	"2000"	"2000"	"Female"	"F"	"Nebraska"	"31"	15	867912	Unreliable
	"2000"	"2000"	"Female"	"F"	"Nevada"	"32"	48	980206	4.8969
	"2000"	"2000"	"Female"	"F"	"New Hampshire"	"33"	28	628099	4.4579
	"2000"	"2000"	"Female"	"F"	"New Jersey"	"34"	135	4331537	3.1167
	"2000"	"2000"	"Female"	"F"	"New Mexico"	"35"	80	924729	8.6512
	"2000"	"2000"	"Female"	"F"	"New York"	"36"	242	9829709	2.4619
	"2000"	"2000"	"Female"	"F"	"North Carolina"	"37"	155	4106618	3.7744
	"2000"	"2000"	"Female"	"F"	"North Dakota"	"38"	11	321676	Unreliable
	"2000"	"2000"	"Female"	"F"	"Ohio"	"39"	118	5840878	2.0202
	"2000"	"2000"	"Female"	"F"	"Oklahoma"	"40"	71	1754759	4.0461
	"2000"	"2000"	"Female"	"F"	"Oregon"	"41"	72	1724849	4.1743
	"2000"	"2000"	"Female"	"F"	"Pennsylvania"	"42"	115	6351391	1.8106
	"2000"	"2000"	"Female"	"F"	"Rhode Island"	"44"	16	544684	Unreliable
	"2000"	"2000"	"Female"	"F"	"South Carolina"	"45"	110	2063083	5.3318
	"2000"	"2000"	"Female"	"F"	"South Dakota"	"46"	18	380286	Unreliable
	"2000"	"2000"	"Female"	"F"	"Tennessee"	"47"	79	2919008	2.7064
	"2000"	"2000"	"Female"	"F"	"Texas"	"48"	231	10498910	2.2002
	"2000"	"2000"	"Female"	"F"	"Utah"	"49"	34	1114138	3.0517
	"2000"	"2000"	"Female"	"F"	"Vermont"	"50"	13	310490	Unreliable
	"2000"	"2000"	"Female"	"F"	"Virginia"	"51"	74	3606620	2.0518
	"2000"	"2000"	"Female"	"F"	"Washington"	"53"	148	2959821	5.0003
	"2000"	"2000"	"Female"	"F"	"West Virginia"	"54"	22	929174	2.3677
	"2000"	"2000"	"Female"	"F"	"Wisconsin"	"55"	101	2714634	3.7206
	"2000"	"2000"	"Female"	"F"	"Wyoming"	"56"	15	245408	Unreliable
	"2000"	"2000"	"Male"	"M"	"Alabama"	"01"	177	2146504	8.2460
	"2000"	"2000"	"Male"	"M"	"Alaska"	"02"	71	324112	21.9060
	"2000"	"2000"	"Male"	"M"	"Arizona"	"04"	359	2561057	14.0176
	"2000"	"2000"	"Male"	"M"	"Arkansas"	"05"	91	1304693	6.9748
	"2000"	"2000"	"Male"	"M"	"California"	"06"	2594	16874892	15.3720
	"2000"	"2000"	"Male"	"M"	"Colorado"	"08"	322	2165983	14.8662
	"2000"	"2000"	"Male"	"M"	"Connecticut"	"09"	150	1649319	9.0947
	"2000"	"2000"	"Male"	"M"	"Delaware"	"10"	34	380541	8.9346
	"2000"	"2000"	"Male"	"M"	"District of Columbia"	"11"	84	269366	31.1843
	"2000"	"2000"	"Male"	"M"	"Florida"	"12"	994	7797715	12.7473
	"2000"	"2000"	"Male"	"M"	"Georgia"	"13"	360	4027113	8.9394
	"2000"	"2000"	"Male"	"M"	"Hawaii"	"15"	28	608671	4.6002
	"2000"	"2000"	"Male"	"M"	"Idaho"	"16"	74	648660	11.4081
	"2000"	"2000"	"Male"	"M"	"Illinois"	"17"	432	6080336	7.1049
	"2000"	"2000"	"Male"	"M"	"Indiana"	"18"	273	2982474	9.1535
	"2000"	"2000"	"Male"	"M"	"Iowa"	"19"	104	1435515	7.2448
	"2000"	"2000"	"Male"	"M"	"Kansas"	"20"	105	1328474	7.9038
	"2000"	"2000"	"Male"	"M"	"Kentucky"	"21"	213	1975368	10.7828
	"2000"	"2000"	"Male"	"M"	"Louisiana"	"22"	165	2162903	7.6286
	"2000"	"2000"	"Male"	"M"	"Maine"	"23"	86	620309	13.8641
	"2000"	"2000"	"Male"	"M"	"Maryland"	"24"	220	2557794	8.6012
	"2000"	"2000"	"Male"	"M"	"Massachusetts"	"25"	269	3058816	8.7943
	"2000"	"2000"	"Male"	"M"	"Michigan"	"26"	507	4873095	10.4041
	"2000"	"2000"	"Male"	"M"	"Minnesota"	"27"	237	2435631	9.7305
	"2000"	"2000"	"Male"	"M"	"Mississippi"	"28"	124	1373554	9.0277
	"2000"	"2000"	"Male"	"M"	"Missouri"	"29"	255	2720177	9.3744
	"2000"	"2000"	"Male"	"M"	"Montana"	"30"	57	449480	12.6813
	"2000"	"2000"	"Male"	"M"	"Nebraska"	"31"	55	843351	6.5216
	"2000"	"2000"	"Male"	"M"	"Nevada"	"32"	169	1018051	16.6003
	"2000"	"2000"	"Male"	"M"	"New Hampshire"	"33"	63	607687	10.3672
	"2000"	"2000"	"Male"	"M"	"New Jersey"	"34"	375	4082813	9.1848
	"2000"	"2000"	"Male"	"M"	"New Mexico"	"35"	262	894317	29.2961
	"2000"	"2000"	"Male"	"M"	"New York"	"36"	917	9146748	10.0254
	"2000"	"2000"	"Male"	"M"	"North Carolina"	"37"	540	3942695	13.6962
	"2000"	"2000"	"Male"	"M"	"North Dakota"	"38"	38	320524	11.8556
	"2000"	"2000"	"Male"	"M"	"Ohio"	"39"	467	5512262	8.4720
	"2000"	"2000"	"Male"	"M"	"Oklahoma"	"40"	162	1695895	9.5525
	"2000"	"2000"	"Male"	"M"	"Oregon"	"41"	240	1696550	14.1464
	"2000"	"2000"	"Male"	"M"	"Pennsylvania"	"42"	356	5929663	6.0037
	"2000"	"2000"	"Male"	"M"	"Rhode Island"	"44"	61	503635	12.1119
	"2000"	"2000"	"Male"	"M"	"South Carolina"	"45"	351	1948929	18.0099
	"2000"	"2000"	"Male"	"M"	"South Dakota"	"46"	51	374558	13.6160
	"2000"	"2000"	"Male"	"M"	"Tennessee"	"47"	310	2770275	11.1902
	"2000"	"2000"	"Male"	"M"	"Texas"	"48"	960	10352910	9.2728
	"2000"	"2000"	"Male"	"M"	"Utah"	"49"	79	1119031	7.0597
	"2000"	"2000"	"Male"	"M"	"Vermont"	"50"	25	298337	8.3798
	"2000"	"2000"	"Male"	"M"	"Virginia"	"51"	284	3471895	8.1800
	"2000"	"2000"	"Male"	"M"	"Washington"	"53"	376	2934300	12.8140
	"2000"	"2000"	"Male"	"M"	"West Virginia"	"54"	124	879170	14.1042
	"2000"	"2000"	"Male"	"M"	"Wisconsin"	"55"	294	2649041	11.0984
	"2000"	"2000"	"Male"	"M"	"Wyoming"	"56"	49	248374	19.7283
	"2001"	"2001"	"Female"	"F"	"Alabama"	"01"	50	2309496	2.1650
	"2001"	"2001"	"Female"	"F"	"Alaska"	"02"	37	305579	12.1082
	"2001"	"2001"	"Female"	"F"	"Arizona"	"04"	109	2641676	4.1262
	"2001"	"2001"	"Female"	"F"	"Arkansas"	"05"	39	1376845	2.8326
	"2001"	"2001"	"Female"	"F"	"California"	"06"	856	17294223	4.9496
	"2001"	"2001"	"Female"	"F"	"Colorado"	"08"	146	2195705	6.6493
	"2001"	"2001"	"Female"	"F"	"Connecticut"	"09"	48	1768959	2.7135
	"2001"	"2001"	"Female"	"F"	"Delaware"	"10"	24	409349	5.8630
	"2001"	"2001"	"Female"	"F"	"District of Columbia"	"11"	32	303740	10.5353
	"2001"	"2001"	"Female"	"F"	"Florida"	"12"	354	8372776	4.2280
	"2001"	"2001"	"Female"	"F"	"Georgia"	"13"	112	4256162	2.6315
	"2001"	"2001"	"Female"	"F"	"Hawaii"	"15"	10	609189	Unreliable
	"2001"	"2001"	"Female"	"F"	"Idaho"	"16"	35	658043	5.3188
	"2001"	"2001"	"Female"	"F"	"Illinois"	"17"	141	6370443	2.2133
	"2001"	"2001"	"Female"	"F"	"Indiana"	"18"	69	3120158	2.2114
	"2001"	"2001"	"Female"	"F"	"Iowa"	"19"	36	1492287	2.4124
	"2001"	"2001"	"Female"	"F"	"Kansas"	"20"	41	1365966	3.0015
	"2001"	"2001"	"Female"	"F"	"Kentucky"	"21"	47	2076871	2.2630
	"2001"	"2001"	"Female"	"F"	"Louisiana"	"22"	53	2308063	2.2963
	"2001"	"2001"	"Female"	"F"	"Maine"	"23"	29	659657	4.3962
	"2001"	"2001"	"Female"	"F"	"Maryland"	"24"	67	2779864	2.4102
	"2001"	"2001"	"Female"	"F"	"Massachusetts"	"25"	104	3312567	3.1396
	"2001"	"2001"	"Female"	"F"	"Michigan"	"26"	183	5089289	3.5958
	"2001"	"2001"	"Female"	"F"	"Minnesota"	"27"	82	2514149	3.2615
	"2001"	"2001"	"Female"	"F"	"Mississippi"	"28"	35	1473486	2.3753
	"2001"	"2001"	"Female"	"F"	"Missouri"	"29"	94	2895476	3.2464
	"2001"	"2001"	"Female"	"F"	"Montana"	"30"	33	454683	7.2578
	"2001"	"2001"	"Female"	"F"	"Nebraska"	"31"	24	871208	2.7548
	"2001"	"2001"	"Female"	"F"	"Nevada"	"32"	65	1030850	6.3055
	"2001"	"2001"	"Female"	"F"	"New Hampshire"	"33"	30	637412	4.7065
	"2001"	"2001"	"Female"	"F"	"New Jersey"	"34"	123	4369932	2.8147
	"2001"	"2001"	"Female"	"F"	"New Mexico"	"35"	80	930387	8.5986
	"2001"	"2001"	"Female"	"F"	"New York"	"36"	266	9878713	2.6927
	"2001"	"2001"	"Female"	"F"	"North Carolina"	"37"	137	4187317	3.2718
	"2001"	"2001"	"Female"	"F"	"North Dakota"	"38"	22	319787	6.8796
	"2001"	"2001"	"Female"	"F"	"Ohio"	"39"	150	5853691	2.5625
	"2001"	"2001"	"Female"	"F"	"Oklahoma"	"40"	52	1760052	2.9545
	"2001"	"2001"	"Female"	"F"	"Oregon"	"41"	108	1747889	6.1789
	"2001"	"2001"	"Female"	"F"	"Pennsylvania"	"42"	127	6354395	1.9986
	"2001"	"2001"	"Female"	"F"	"Rhode Island"	"44"	16	548974	Unreliable
	"2001"	"2001"	"Female"	"F"	"South Carolina"	"45"	83	2089963	3.9714
	"2001"	"2001"	"Female"	"F"	"South Dakota"	"46"	25	381537	6.5524
	"2001"	"2001"	"Female"	"F"	"Tennessee"	"47"	80	2948421	2.7133
	"2001"	"2001"	"Female"	"F"	"Texas"	"48"	256	10731190	2.3856
	"2001"	"2001"	"Female"	"F"	"Utah"	"49"	30	1139182	2.6335
	"2001"	"2001"	"Female"	"F"	"Vermont"	"50"	Suppressed	311779	Suppressed
	"2001"	"2001"	"Female"	"F"	"Virginia"	"51"	71	3665386	1.9370
	"2001"	"2001"	"Female"	"F"	"Washington"	"53"	205	3002080	6.8286
	"2001"	"2001"	"Female"	"F"	"West Virginia"	"54"	23	923643	2.4901
	"2001"	"2001"	"Female"	"F"	"Wisconsin"	"55"	103	2733647	3.7679
	"2001"	"2001"	"Female"	"F"	"Wyoming"	"56"	17	245327	Unreliable
	"2001"	"2001"	"Male"	"M"	"Alabama"	"01"	186	2158138	8.6185
	"2001"	"2001"	"Male"	"M"	"Alaska"	"02"	83	328135	25.2945
	"2001"	"2001"	"Male"	"M"	"Arizona"	"04"	341	2631801	12.9569
	"2001"	"2001"	"Male"	"M"	"Arkansas"	"05"	122	1314726	9.2795
	"2001"	"2001"	"Male"	"M"	"California"	"06"	2543	17185235	14.7976
	"2001"	"2001"	"Male"	"M"	"Colorado"	"08"	365	2229982	16.3678
	"2001"	"2001"	"Male"	"M"	"Connecticut"	"09"	112	1663876	6.7313
	"2001"	"2001"	"Male"	"M"	"Delaware"	"10"	45	386350	11.6475
	"2001"	"2001"	"Male"	"M"	"District of Columbia"	"11"	81	270764	29.9154
	"2001"	"2001"	"Male"	"M"	"Florida"	"12"	1054	7984190	13.2011
	"2001"	"2001"	"Male"	"M"	"Georgia"	"13"	390	4120876	9.4640
	"2001"	"2001"	"Male"	"M"	"Hawaii"	"15"	26	616759	4.2156
	"2001"	"2001"	"Male"	"M"	"Idaho"	"16"	88	661919	13.2947
	"2001"	"2001"	"Male"	"M"	"Illinois"	"17"	493	6118002	8.0582
	"2001"	"2001"	"Male"	"M"	"Indiana"	"18"	241	3007602	8.0130
	"2001"	"2001"	"Male"	"M"	"Iowa"	"19"	122	1439710	8.4739
	"2001"	"2001"	"Male"	"M"	"Kansas"	"20"	117	1336196	8.7562
	"2001"	"2001"	"Male"	"M"	"Kentucky"	"21"	210	1991261	10.5461
	"2001"	"2001"	"Male"	"M"	"Louisiana"	"22"	185	2169812	8.5261
	"2001"	"2001"	"Male"	"M"	"Maine"	"23"	65	626035	10.3828
	"2001"	"2001"	"Male"	"M"	"Maryland"	"24"	211	2594827	8.1316
	"2001"	"2001"	"Male"	"M"	"Massachusetts"	"25"	242	3085067	7.8442
	"2001"	"2001"	"Male"	"M"	"Michigan"	"26"	530	4901831	10.8123
	"2001"	"2001"	"Male"	"M"	"Minnesota"	"27"	238	2468647	9.6409
	"2001"	"2001"	"Male"	"M"	"Mississippi"	"28"	132	1379508	9.5686
	"2001"	"2001"	"Male"	"M"	"Missouri"	"29"	278	2745666	10.1250
	"2001"	"2001"	"Male"	"M"	"Montana"	"30"	74	452278	16.3616
	"2001"	"2001"	"Male"	"M"	"Nebraska"	"31"	62	848628	7.3059
	"2001"	"2001"	"Male"	"M"	"Nevada"	"32"	186	1067549	17.4231
	"2001"	"2001"	"Male"	"M"	"New Hampshire"	"33"	94	618105	15.2078
	"2001"	"2001"	"Male"	"M"	"New Jersey"	"34"	377	4122739	9.1444
	"2001"	"2001"	"Male"	"M"	"New Mexico"	"35"	251	901303	27.8486
	"2001"	"2001"	"Male"	"M"	"New York"	"36"	911	9204125	9.8977
	"2001"	"2001"	"Male"	"M"	"North Carolina"	"37"	493	4022805	12.2551
	"2001"	"2001"	"Male"	"M"	"North Dakota"	"38"	46	319275	14.4076
	"2001"	"2001"	"Male"	"M"	"Ohio"	"39"	473	5533713	8.5476
	"2001"	"2001"	"Male"	"M"	"Oklahoma"	"40"	170	1707048	9.9587
	"2001"	"2001"	"Male"	"M"	"Oregon"	"41"	261	1720048	15.1740
	"2001"	"2001"	"Male"	"M"	"Pennsylvania"	"42"	369	5944575	6.2073
	"2001"	"2001"	"Male"	"M"	"Rhode Island"	"44"	47	508168	9.2489
	"2001"	"2001"	"Male"	"M"	"South Carolina"	"45"	255	1975032	12.9112
	"2001"	"2001"	"Male"	"M"	"South Dakota"	"46"	49	376435	13.0169
	"2001"	"2001"	"Male"	"M"	"Tennessee"	"47"	329	2802368	11.7401
	"2001"	"2001"	"Male"	"M"	"Texas"	"48"	963	10588432	9.0948
	"2001"	"2001"	"Male"	"M"	"Utah"	"49"	85	1144533	7.4266
	"2001"	"2001"	"Male"	"M"	"Vermont"	"50"	32	300444	10.6509
	"2001"	"2001"	"Male"	"M"	"Virginia"	"51"	279	3532976	7.8970
	"2001"	"2001"	"Male"	"M"	"Washington"	"53"	406	2983642	13.6075
	"2001"	"2001"	"Male"	"M"	"West Virginia"	"54"	109	877838	12.4169
	"2001"	"2001"	"Male"	"M"	"Wisconsin"	"55"	288	2673188	10.7737
	"2001"	"2001"	"Male"	"M"	"Wyoming"	"56"	40	249330	16.0430
	"2002"	"2002"	"Female"	"F"	"Alabama"	"01"	44	2314370	1.9012
	"2002"	"2002"	"Female"	"F"	"Alaska"	"02"	43	309633	13.8874
	"2002"	"2002"	"Female"	"F"	"Arizona"	"04"	127	2704217	4.6964
	"2002"	"2002"	"Female"	"F"	"Arkansas"	"05"	25	1383239	1.8074
	"2002"	"2002"	"Female"	"F"	"California"	"06"	905	17498462	5.1719
	"2002"	"2002"	"Female"	"F"	"Colorado"	"08"	145	2228665	6.5061
	"2002"	"2002"	"Female"	"F"	"Connecticut"	"09"	62	1780500	3.4822
	"2002"	"2002"	"Female"	"F"	"Delaware"	"10"	21	414652	5.0645
	"2002"	"2002"	"Female"	"F"	"District of Columbia"	"11"	33	303146	10.8858
	"2002"	"2002"	"Female"	"F"	"Florida"	"12"	376	8541734	4.4019
	"2002"	"2002"	"Female"	"F"	"Georgia"	"13"	126	4327934	2.9113
	"2002"	"2002"	"Female"	"F"	"Hawaii"	"15"	10	616192	Unreliable
	"2002"	"2002"	"Female"	"F"	"Idaho"	"16"	33	668686	4.9351
	"2002"	"2002"	"Female"	"F"	"Illinois"	"17"	138	6387897	2.1603
	"2002"	"2002"	"Female"	"F"	"Indiana"	"18"	66	3133342	2.1064
	"2002"	"2002"	"Female"	"F"	"Iowa"	"19"	32	1491450	2.1456
	"2002"	"2002"	"Female"	"F"	"Kansas"	"20"	47	1371898	3.4259
	"2002"	"2002"	"Female"	"F"	"Kentucky"	"21"	48	2087223	2.2997
	"2002"	"2002"	"Female"	"F"	"Louisiana"	"22"	55	2315524	2.3753
	"2002"	"2002"	"Female"	"F"	"Maine"	"23"	19	664226	Unreliable
	"2002"	"2002"	"Female"	"F"	"Maryland"	"24"	65	2815197	2.3089
	"2002"	"2002"	"Female"	"F"	"Massachusetts"	"25"	93	3319436	2.8017
	"2002"	"2002"	"Female"	"F"	"Michigan"	"26"	167	5100171	3.2744
