"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Single Race 6"	"Single Race 6 Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	42	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	62	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Asian"	"A"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Asian"	"A"	"Male"	"M"	28	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Black or African American"	"2054-5"	"Female"	"F"	67	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Black or African American"	"2054-5"	"Male"	"M"	167	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"White"	"2106-3"	"Female"	"F"	630	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"White"	"2106-3"	"Male"	"M"	1445	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"More than one race"	"M"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"More than one race"	"M"	"Male"	"M"	10	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	41	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	59	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Asian"	"A"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Asian"	"A"	"Male"	"M"	23	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Black or African American"	"2054-5"	"Female"	"F"	72	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Black or African American"	"2054-5"	"Male"	"M"	202	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"White"	"2106-3"	"Female"	"F"	660	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"White"	"2106-3"	"Male"	"M"	1662	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"More than one race"	"M"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"More than one race"	"M"	"Male"	"M"	15	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	42	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	66	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Asian"	"A"	"Female"	"F"	10	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Asian"	"A"	"Male"	"M"	31	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Black or African American"	"2054-5"	"Female"	"F"	67	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Black or African American"	"2054-5"	"Male"	"M"	170	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"White"	"2106-3"	"Female"	"F"	639	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"White"	"2106-3"	"Male"	"M"	1548	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"More than one race"	"M"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"More than one race"	"M"	"Male"	"M"	15	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	33	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	59	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"Asian"	"A"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"Asian"	"A"	"Male"	"M"	24	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"Black or African American"	"2054-5"	"Female"	"F"	81	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"Black or African American"	"2054-5"	"Male"	"M"	192	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"White"	"2106-3"	"Female"	"F"	646	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"White"	"2106-3"	"Male"	"M"	1509	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"More than one race"	"M"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"More than one race"	"M"	"Male"	"M"	13	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	46	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	58	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"Asian"	"A"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"Asian"	"A"	"Male"	"M"	31	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"Black or African American"	"2054-5"	"Female"	"F"	70	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"Black or African American"	"2054-5"	"Male"	"M"	184	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"White"	"2106-3"	"Female"	"F"	641	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"White"	"2106-3"	"Male"	"M"	1526	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"More than one race"	"M"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"More than one race"	"M"	"Male"	"M"	19	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	45	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	79	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"Asian"	"A"	"Female"	"F"	12	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"Asian"	"A"	"Male"	"M"	39	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"Black or African American"	"2054-5"	"Female"	"F"	72	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"Black or African American"	"2054-5"	"Male"	"M"	197	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"White"	"2106-3"	"Female"	"F"	712	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"White"	"2106-3"	"Male"	"M"	1594	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"More than one race"	"M"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"More than one race"	"M"	"Male"	"M"	11	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	43	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	70	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"Asian"	"A"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"Asian"	"A"	"Male"	"M"	30	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"Black or African American"	"2054-5"	"Female"	"F"	77	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"Black or African American"	"2054-5"	"Male"	"M"	183	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"White"	"2106-3"	"Female"	"F"	642	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"White"	"2106-3"	"Male"	"M"	1626	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"More than one race"	"M"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"More than one race"	"M"	"Male"	"M"	15	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	45	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	70	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"Asian"	"A"	"Female"	"F"	10	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"Asian"	"A"	"Male"	"M"	26	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"Black or African American"	"2054-5"	"Female"	"F"	72	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"Black or African American"	"2054-5"	"Male"	"M"	171	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"White"	"2106-3"	"Female"	"F"	638	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"White"	"2106-3"	"Male"	"M"	1504	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"More than one race"	"M"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"More than one race"	"M"	"Male"	"M"	19	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	47	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	69	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"Asian"	"A"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"Asian"	"A"	"Male"	"M"	31	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"Black or African American"	"2054-5"	"Female"	"F"	78	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"Black or African American"	"2054-5"	"Male"	"M"	171	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"White"	"2106-3"	"Female"	"F"	664	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"White"	"2106-3"	"Male"	"M"	1595	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"More than one race"	"M"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"More than one race"	"M"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	42	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	68	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Asian"	"A"	"Female"	"F"	10	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Asian"	"A"	"Male"	"M"	30	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Black or African American"	"2054-5"	"Female"	"F"	83	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Black or African American"	"2054-5"	"Male"	"M"	191	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"White"	"2106-3"	"Female"	"F"	705	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"White"	"2106-3"	"Male"	"M"	1642	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"More than one race"	"M"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"More than one race"	"M"	"Male"	"M"	13	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	48	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	61	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Asian"	"A"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Asian"	"A"	"Male"	"M"	36	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Black or African American"	"2054-5"	"Female"	"F"	81	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Black or African American"	"2054-5"	"Male"	"M"	185	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"White"	"2106-3"	"Female"	"F"	676	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"White"	"2106-3"	"Male"	"M"	1632	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"More than one race"	"M"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"More than one race"	"M"	"Male"	"M"	16	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	48	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	74	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Asian"	"A"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Asian"	"A"	"Male"	"M"	38	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Black or African American"	"2054-5"	"Female"	"F"	96	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Black or African American"	"2054-5"	"Male"	"M"	239	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"White"	"2106-3"	"Female"	"F"	720	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"White"	"2106-3"	"Male"	"M"	1691	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"More than one race"	"M"	"Female"	"F"	10	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"More than one race"	"M"	"Male"	"M"	15	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	28	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	58	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Asian"	"A"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Asian"	"A"	"Male"	"M"	32	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Black or African American"	"2054-5"	"Female"	"F"	68	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Black or African American"	"2054-5"	"Male"	"M"	220	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"White"	"2106-3"	"Female"	"F"	641	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"White"	"2106-3"	"Male"	"M"	1522	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"More than one race"	"M"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"More than one race"	"M"	"Male"	"M"	12	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Not Available"	"999"	"Female"	"F"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Not Available"	"999"	"Male"	"M"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"Mar., 2019"	"2019/03"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	36	Not Applicable	Not Applicable
	"2019"	"2019"	"Mar., 2019"	"2019/03"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	64	Not Applicable	Not Applicable
	"2019"	"2019"	"Mar., 2019"	"2019/03"	"Asian"	"A"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
