"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Hawaii"	"15"	"Female"	"F"	Suppressed	709489	Suppressed
	"2018"	"2018"	"Hawaii"	"15"	"Male"	"M"	Suppressed	711002	Suppressed
	"2018"	"2018"	"Idaho"	"16"	"Female"	"F"	Suppressed	875131	Suppressed
	"2018"	"2018"	"Idaho"	"16"	"Male"	"M"	Suppressed	879077	Suppressed
	"2018"	"2018"	"Illinois"	"17"	"Female"	"F"	15	6480179	Unreliable
	"2018"	"2018"	"Illinois"	"17"	"Male"	"M"	54	6260901	0.8625
	"2018"	"2018"	"Indiana"	"18"	"Female"	"F"	26	3391576	0.7666
	"2018"	"2018"	"Indiana"	"18"	"Male"	"M"	63	3300302	1.9089
	"2018"	"2018"	"Iowa"	"19"	"Female"	"F"	Suppressed	1585338	Suppressed
	"2018"	"2018"	"Iowa"	"19"	"Male"	"M"	23	1570807	1.4642
	"2018"	"2018"	"Kansas"	"20"	"Female"	"F"	Suppressed	1461099	Suppressed
	"2018"	"2018"	"Kansas"	"20"	"Male"	"M"	21	1450406	1.4479
	"2018"	"2018"	"Kentucky"	"21"	"Female"	"F"	11	2266891	Unreliable
	"2018"	"2018"	"Kentucky"	"21"	"Male"	"M"	25	2201511	1.1356
	"2018"	"2018"	"Louisiana"	"22"	"Female"	"F"	Suppressed	2385219	Suppressed
	"2018"	"2018"	"Louisiana"	"22"	"Male"	"M"	14	2274759	Unreliable
	"2018"	"2018"	"Maine"	"23"	"Female"	"F"	Suppressed	683031	Suppressed
	"2018"	"2018"	"Maine"	"23"	"Male"	"M"	25	655373	3.8146
	"2018"	"2018"	"Maryland"	"24"	"Female"	"F"	Suppressed	3113797	Suppressed
	"2018"	"2018"	"Maryland"	"24"	"Male"	"M"	40	2928921	1.3657
	"2018"	"2018"	"Massachusetts"	"25"	"Female"	"F"	16	3551621	Unreliable
	"2018"	"2018"	"Massachusetts"	"25"	"Male"	"M"	35	3350528	1.0446
	"2018"	"2018"	"Michigan"	"26"	"Female"	"F"	22	5073772	0.4336
	"2018"	"2018"	"Michigan"	"26"	"Male"	"M"	48	4922143	0.9752
	"2018"	"2018"	"Minnesota"	"27"	"Female"	"F"	15	2816378	Unreliable
	"2018"	"2018"	"Minnesota"	"27"	"Male"	"M"	57	2794801	2.0395
	"2018"	"2018"	"Mississippi"	"28"	"Female"	"F"	Suppressed	1538795	Suppressed
	"2018"	"2018"	"Mississippi"	"28"	"Male"	"M"	Suppressed	1447735	Suppressed
	"2018"	"2018"	"Missouri"	"29"	"Female"	"F"	12	3118889	Unreliable
	"2018"	"2018"	"Missouri"	"29"	"Male"	"M"	26	3007563	0.8645
	"2018"	"2018"	"Montana"	"30"	"Female"	"F"	Suppressed	527453	Suppressed
	"2018"	"2018"	"Montana"	"30"	"Male"	"M"	Suppressed	534852	Suppressed
	"2018"	"2018"	"Nebraska"	"31"	"Female"	"F"	Suppressed	965886	Suppressed
	"2018"	"2018"	"Nebraska"	"31"	"Male"	"M"	Suppressed	963382	Suppressed
	"2018"	"2018"	"Nevada"	"32"	"Female"	"F"	Suppressed	1512837	Suppressed
	"2018"	"2018"	"Nevada"	"32"	"Male"	"M"	14	1521555	Unreliable
	"2018"	"2018"	"New Hampshire"	"33"	"Female"	"F"	0	684192	Unreliable
	"2018"	"2018"	"New Hampshire"	"33"	"Male"	"M"	Suppressed	672266	Suppressed
	"2018"	"2018"	"New Jersey"	"34"	"Female"	"F"	19	4556326	Unreliable
	"2018"	"2018"	"New Jersey"	"34"	"Male"	"M"	65	4352194	1.4935
	"2018"	"2018"	"New Mexico"	"35"	"Female"	"F"	12	1058143	Unreliable
	"2018"	"2018"	"New Mexico"	"35"	"Male"	"M"	59	1037285	5.6879
	"2018"	"2018"	"New York"	"36"	"Female"	"F"	34	10053779	0.3382
	"2018"	"2018"	"New York"	"36"	"Male"	"M"	99	9488430	1.0434
	"2018"	"2018"	"North Carolina"	"37"	"Female"	"F"	15	5332759	Unreliable
	"2018"	"2018"	"North Carolina"	"37"	"Male"	"M"	40	5050861	0.7919
	"2018"	"2018"	"North Dakota"	"38"	"Female"	"F"	Suppressed	370727	Suppressed
	"2018"	"2018"	"North Dakota"	"38"	"Male"	"M"	Suppressed	389350	Suppressed
	"2018"	"2018"	"Ohio"	"39"	"Female"	"F"	16	5958724	Unreliable
	"2018"	"2018"	"Ohio"	"39"	"Male"	"M"	56	5730718	0.9772
	"2018"	"2018"	"Oklahoma"	"40"	"Female"	"F"	Suppressed	1990033	Suppressed
	"2018"	"2018"	"Oklahoma"	"40"	"Male"	"M"	35	1953046	1.7921
	"2018"	"2018"	"Oregon"	"41"	"Female"	"F"	Suppressed	2113219	Suppressed
	"2018"	"2018"	"Oregon"	"41"	"Male"	"M"	15	2077494	Unreliable
	"2018"	"2018"	"Pennsylvania"	"42"	"Female"	"F"	20	6532400	0.3062
	"2018"	"2018"	"Pennsylvania"	"42"	"Male"	"M"	46	6274660	0.7331
	"2018"	"2018"	"Rhode Island"	"44"	"Female"	"F"	Suppressed	542983	Suppressed
	"2018"	"2018"	"Rhode Island"	"44"	"Male"	"M"	16	514332	Unreliable
	"2018"	"2018"	"South Carolina"	"45"	"Female"	"F"	Suppressed	2620801	Suppressed
	"2018"	"2018"	"South Carolina"	"45"	"Male"	"M"	18	2463326	Unreliable
	"2018"	"2018"	"South Dakota"	"46"	"Female"	"F"	Suppressed	436704	Suppressed
	"2018"	"2018"	"South Dakota"	"46"	"Male"	"M"	Suppressed	445531	Suppressed
	"2018"	"2018"	"Tennessee"	"47"	"Female"	"F"	12	3467086	Unreliable
	"2018"	"2018"	"Tennessee"	"47"	"Male"	"M"	33	3302924	0.9991
	"2018"	"2018"	"Texas"	"48"	"Female"	"F"	30	14441739	0.2077
	"2018"	"2018"	"Texas"	"48"	"Male"	"M"	108	14260106	0.7574
	"2018"	"2018"	"Utah"	"49"	"Female"	"F"	Suppressed	1568962	Suppressed
	"2018"	"2018"	"Utah"	"49"	"Male"	"M"	19	1592143	Unreliable
	"2018"	"2018"	"Vermont"	"50"	"Female"	"F"	Suppressed	317047	Suppressed
	"2018"	"2018"	"Vermont"	"50"	"Male"	"M"	Suppressed	309252	Suppressed
	"2018"	"2018"	"Virginia"	"51"	"Female"	"F"	14	4327037	Unreliable
	"2018"	"2018"	"Virginia"	"51"	"Male"	"M"	33	4190648	0.7875
	"2018"	"2018"	"Washington"	"53"	"Female"	"F"	22	3765680	0.5842
	"2018"	"2018"	"Washington"	"53"	"Male"	"M"	42	3769911	1.1141
	"2018"	"2018"	"West Virginia"	"54"	"Female"	"F"	Suppressed	911492	Suppressed
	"2018"	"2018"	"West Virginia"	"54"	"Male"	"M"	Suppressed	894340	Suppressed
	"2018"	"2018"	"Wisconsin"	"55"	"Female"	"F"	Suppressed	2921295	Suppressed
	"2018"	"2018"	"Wisconsin"	"55"	"Male"	"M"	31	2892273	1.0718
	"2018"	"2018"	"Wyoming"	"56"	"Female"	"F"	Suppressed	283203	Suppressed
	"2018"	"2018"	"Wyoming"	"56"	"Male"	"M"	Suppressed	294534	Suppressed
	"2019"	"2019"	"Alabama"	"01"	"Female"	"F"	Suppressed	2533668	Suppressed
	"2019"	"2019"	"Alabama"	"01"	"Male"	"M"	17	2369517	Unreliable
	"2019"	"2019"	"Alaska"	"02"	"Female"	"F"	20	350127	5.7122
	"2019"	"2019"	"Alaska"	"02"	"Male"	"M"	19	381418	Unreliable
	"2019"	"2019"	"Arizona"	"04"	"Female"	"F"	19	3661420	Unreliable
	"2019"	"2019"	"Arizona"	"04"	"Male"	"M"	80	3617297	2.2116
	"2019"	"2019"	"Arkansas"	"05"	"Female"	"F"	Suppressed	1536188	Suppressed
	"2019"	"2019"	"Arkansas"	"05"	"Male"	"M"	15	1481616	Unreliable
	"2019"	"2019"	"California"	"06"	"Female"	"F"	78	19867369	0.3926
	"2019"	"2019"	"California"	"06"	"Male"	"M"	267	19644854	1.3591
	"2019"	"2019"	"Colorado"	"08"	"Female"	"F"	20	2857388	0.6999
	"2019"	"2019"	"Colorado"	"08"	"Male"	"M"	51	2901348	1.7578
	"2019"	"2019"	"Connecticut"	"09"	"Female"	"F"	18	1825870	Unreliable
	"2019"	"2019"	"Connecticut"	"09"	"Male"	"M"	35	1739417	2.0122
	"2019"	"2019"	"Delaware"	"10"	"Female"	"F"	Suppressed	502971	Suppressed
	"2019"	"2019"	"Delaware"	"10"	"Male"	"M"	Suppressed	470793	Suppressed
	"2019"	"2019"	"District of Columbia"	"11"	"Female"	"F"	Suppressed	371038	Suppressed
	"2019"	"2019"	"District of Columbia"	"11"	"Male"	"M"	12	334711	Unreliable
	"2019"	"2019"	"Florida"	"12"	"Female"	"F"	44	10980681	0.4007
	"2019"	"2019"	"Florida"	"12"	"Male"	"M"	98	10497056	0.9336
	"2019"	"2019"	"Georgia"	"13"	"Female"	"F"	18	5456999	Unreliable
	"2019"	"2019"	"Georgia"	"13"	"Male"	"M"	41	5160424	0.7945
	"2019"	"2019"	"Hawaii"	"15"	"Female"	"F"	Suppressed	707832	Suppressed
	"2019"	"2019"	"Hawaii"	"15"	"Male"	"M"	Suppressed	708040	Suppressed
	"2019"	"2019"	"Idaho"	"16"	"Female"	"F"	Suppressed	891137	Suppressed
	"2019"	"2019"	"Idaho"	"16"	"Male"	"M"	Suppressed	895928	Suppressed
	"2019"	"2019"	"Illinois"	"17"	"Female"	"F"	23	6445263	0.3569
	"2019"	"2019"	"Illinois"	"17"	"Male"	"M"	47	6226558	0.7548
	"2019"	"2019"	"Indiana"	"18"	"Female"	"F"	15	3411859	Unreliable
	"2019"	"2019"	"Indiana"	"18"	"Male"	"M"	64	3320360	1.9275
	"2019"	"2019"	"Iowa"	"19"	"Female"	"F"	Suppressed	1583995	Suppressed
	"2019"	"2019"	"Iowa"	"19"	"Male"	"M"	23	1571075	1.4640
	"2019"	"2019"	"Kansas"	"20"	"Female"	"F"	Suppressed	1461617	Suppressed
	"2019"	"2019"	"Kansas"	"20"	"Male"	"M"	13	1451697	Unreliable
	"2019"	"2019"	"Kentucky"	"21"	"Female"	"F"	Suppressed	2266644	Suppressed
	"2019"	"2019"	"Kentucky"	"21"	"Male"	"M"	31	2201029	1.4084
	"2019"	"2019"	"Louisiana"	"22"	"Female"	"F"	Suppressed	2381744	Suppressed
	"2019"	"2019"	"Louisiana"	"22"	"Male"	"M"	24	2267050	1.0586
	"2019"	"2019"	"Maine"	"23"	"Female"	"F"	Suppressed	686100	Suppressed
	"2019"	"2019"	"Maine"	"23"	"Male"	"M"	24	658112	3.6468
	"2019"	"2019"	"Maryland"	"24"	"Female"	"F"	16	3116815	Unreliable
	"2019"	"2019"	"Maryland"	"24"	"Male"	"M"	38	2928865	1.2974
	"2019"	"2019"	"Massachusetts"	"25"	"Female"	"F"	16	3546935	Unreliable
	"2019"	"2019"	"Massachusetts"	"25"	"Male"	"M"	36	3345568	1.0761
	"2019"	"2019"	"Michigan"	"26"	"Female"	"F"	18	5068329	Unreliable
	"2019"	"2019"	"Michigan"	"26"	"Male"	"M"	81	4918528	1.6468
	"2019"	"2019"	"Minnesota"	"27"	"Female"	"F"	22	2829821	0.7774
	"2019"	"2019"	"Minnesota"	"27"	"Male"	"M"	60	2809811	2.1354
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	Suppressed	1533857	Suppressed
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	Suppressed	1442292	Suppressed
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	Suppressed	3124766	Suppressed
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	27	3012662	0.8962
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	Suppressed	530712	Suppressed
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	Suppressed	538066	Suppressed
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	Suppressed	967959	Suppressed
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	Suppressed	966449	Suppressed
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	Suppressed	1535329	Suppressed
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	11	1544827	Unreliable
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	Suppressed	685918	Suppressed
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	Suppressed	673793	Suppressed
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	19	4541603	Unreliable
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	54	4340587	1.2441
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	26	1059397	2.4542
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	63	1037432	6.0727
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	24	10005715	0.2399
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	67	9447846	0.7092
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	16	5387820	Unreliable
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	37	5100264	0.7255
	"2019"	"2019"	"North Dakota"	"38"	"Female"	"F"	Suppressed	372030	Suppressed
	"2019"	"2019"	"North Dakota"	"38"	"Male"	"M"	Suppressed	390032	Suppressed
	"2019"	"2019"	"Ohio"	"39"	"Female"	"F"	15	5958538	Unreliable
	"2019"	"2019"	"Ohio"	"39"	"Male"	"M"	51	5730562	0.8900
	"2019"	"2019"	"Oklahoma"	"40"	"Female"	"F"	Suppressed	1996313	Suppressed
	"2019"	"2019"	"Oklahoma"	"40"	"Male"	"M"	24	1960658	1.2241
	"2019"	"2019"	"Oregon"	"41"	"Female"	"F"	Suppressed	2127010	Suppressed
	"2019"	"2019"	"Oregon"	"41"	"Male"	"M"	29	2090727	1.3871
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	16	6527628	Unreliable
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	49	6274361	0.7810
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	Suppressed	543686	Suppressed
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	17	515675	Unreliable
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	Suppressed	2655575	Suppressed
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	25	2493139	1.0028
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	Suppressed	437902	Suppressed
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	Suppressed	446757	Suppressed
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	Suppressed	3496935	Suppressed
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	27	3332239	0.8103
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	39	14593179	0.2672
	"2019"	"2019"	"Texas"	"48"	"Male"	"M"	105	14402702	0.7290
	"2019"	"2019"	"Utah"	"49"	"Female"	"F"	Suppressed	1591041	Suppressed
	"2019"	"2019"	"Utah"	"49"	"Male"	"M"	17	1614917	Unreliable
	"2019"	"2019"	"Vermont"	"50"	"Female"	"F"	Suppressed	315673	Suppressed
	"2019"	"2019"	"Vermont"	"50"	"Male"	"M"	Suppressed	308316	Suppressed
	"2019"	"2019"	"Virginia"	"51"	"Female"	"F"	11	4335262	Unreliable
	"2019"	"2019"	"Virginia"	"51"	"Male"	"M"	32	4200257	0.7619
	"2019"	"2019"	"Washington"	"53"	"Female"	"F"	16	3802910	Unreliable
	"2019"	"2019"	"Washington"	"53"	"Male"	"M"	34	3811983	0.8919
	"2019"	"2019"	"West Virginia"	"54"	"Female"	"F"	Suppressed	904377	Suppressed
	"2019"	"2019"	"West Virginia"	"54"	"Male"	"M"	Suppressed	887770	Suppressed
	"2019"	"2019"	"Wisconsin"	"55"	"Female"	"F"	11	2925225	Unreliable
	"2019"	"2019"	"Wisconsin"	"55"	"Male"	"M"	22	2897209	0.7594
	"2019"	"2019"	"Wyoming"	"56"	"Female"	"F"	0	284029	Unreliable
	"2019"	"2019"	"Wyoming"	"56"	"Male"	"M"	Suppressed	294730	Suppressed
	"2020"	"2020"	"Alabama"	"01"	"Female"	"F"	10	2544566	Unreliable
	"2020"	"2020"	"Alabama"	"01"	"Male"	"M"	35	2376966	1.4725
	"2020"	"2020"	"Alaska"	"02"	"Female"	"F"	18	349621	Unreliable
	"2020"	"2020"	"Alaska"	"02"	"Male"	"M"	18	381537	Unreliable
	"2020"	"2020"	"Arizona"	"04"	"Female"	"F"	39	3735475	1.0440
	"2020"	"2020"	"Arizona"	"04"	"Male"	"M"	118	3685926	3.2014
	"2020"	"2020"	"Arkansas"	"05"	"Female"	"F"	10	1543666	Unreliable
	"2020"	"2020"	"Arkansas"	"05"	"Male"	"M"	19	1486856	Unreliable
	"2020"	"2020"	"California"	"06"	"Female"	"F"	83	19790589	0.4194
	"2020"	"2020"	"California"	"06"	"Male"	"M"	308	19577489	1.5732
	"2020"	"2020"	"Colorado"	"08"	"Female"	"F"	17	2881832	Unreliable
	"2020"	"2020"	"Colorado"	"08"	"Male"	"M"	49	2925887	1.6747
	"2020"	"2020"	"Connecticut"	"09"	"Female"	"F"	15	1822086	Unreliable
	"2020"	"2020"	"Connecticut"	"09"	"Male"	"M"	48	1734920	2.7667
	"2020"	"2020"	"Delaware"	"10"	"Female"	"F"	0	510069	Unreliable
	"2020"	"2020"	"Delaware"	"10"	"Male"	"M"	Suppressed	476740	Suppressed
	"2020"	"2020"	"District of Columbia"	"11"	"Female"	"F"	Suppressed	374884	Suppressed
	"2020"	"2020"	"District of Columbia"	"11"	"Male"	"M"	10	337932	Unreliable
	"2020"	"2020"	"Florida"	"12"	"Female"	"F"	51	11113132	0.4589
	"2020"	"2020"	"Florida"	"12"	"Male"	"M"	124	10620180	1.1676
	"2020"	"2020"	"Georgia"	"13"	"Female"	"F"	17	5508468	Unreliable
	"2020"	"2020"	"Georgia"	"13"	"Male"	"M"	49	5201549	0.9420
	"2020"	"2020"	"Hawaii"	"15"	"Female"	"F"	Suppressed	702640	Suppressed
	"2020"	"2020"	"Hawaii"	"15"	"Male"	"M"	Suppressed	704366	Suppressed
	"2020"	"2020"	"Idaho"	"16"	"Female"	"F"	Suppressed	910789	Suppressed
	"2020"	"2020"	"Idaho"	"16"	"Male"	"M"	12	916124	Unreliable
	"2020"	"2020"	"Illinois"	"17"	"Female"	"F"	15	6402224	Unreliable
	"2020"	"2020"	"Illinois"	"17"	"Male"	"M"	65	6185306	1.0509
	"2020"	"2020"	"Indiana"	"18"	"Female"	"F"	16	3422994	Unreliable
	"2020"	"2020"	"Indiana"	"18"	"Male"	"M"	58	3331959	1.7407
	"2020"	"2020"	"Iowa"	"19"	"Female"	"F"	Suppressed	1587866	Suppressed
	"2020"	"2020"	"Iowa"	"19"	"Male"	"M"	20	1575695	1.2693
	"2020"	"2020"	"Kansas"	"20"	"Female"	"F"	12	1462265	Unreliable
	"2020"	"2020"	"Kansas"	"20"	"Male"	"M"	27	1451540	1.8601
	"2020"	"2020"	"Kentucky"	"21"	"Female"	"F"	Suppressed	2271906	Suppressed
	"2020"	"2020"	"Kentucky"	"21"	"Male"	"M"	37	2205345	1.6777
	"2020"	"2020"	"Louisiana"	"22"	"Female"	"F"	Suppressed	2381158	Suppressed
	"2020"	"2020"	"Louisiana"	"22"	"Male"	"M"	18	2264160	Unreliable
	"2020"	"2020"	"Maine"	"23"	"Female"	"F"	Suppressed	688840	Suppressed
	"2020"	"2020"	"Maine"	"23"	"Male"	"M"	27	661301	4.0829
	"2020"	"2020"	"Maryland"	"24"	"Female"	"F"	11	3123228	Unreliable
	"2020"	"2020"	"Maryland"	"24"	"Male"	"M"	41	2932574	1.3981
	"2020"	"2020"	"Massachusetts"	"25"	"Female"	"F"	11	3546542	Unreliable
	"2020"	"2020"	"Massachusetts"	"25"	"Male"	"M"	37	3347032	1.1055
	"2020"	"2020"	"Michigan"	"26"	"Female"	"F"	30	5058742	0.5930
	"2020"	"2020"	"Michigan"	"26"	"Male"	"M"	67	4907813	1.3652
	"2020"	"2020"	"Minnesota"	"27"	"Female"	"F"	18	2838748	Unreliable
	"2020"	"2020"	"Minnesota"	"27"	"Male"	"M"	42	2818594	1.4901
	"2020"	"2020"	"Mississippi"	"28"	"Female"	"F"	Suppressed	1530971	Suppressed
	"2020"	"2020"	"Mississippi"	"28"	"Male"	"M"	Suppressed	1435815	Suppressed
	"2020"	"2020"	"Missouri"	"29"	"Female"	"F"	Suppressed	3133825	Suppressed
	"2020"	"2020"	"Missouri"	"29"	"Male"	"M"	39	3017723	1.2924
	"2020"	"2020"	"Montana"	"30"	"Female"	"F"	Suppressed	536476	Suppressed
	"2020"	"2020"	"Montana"	"30"	"Male"	"M"	Suppressed	544101	Suppressed
	"2020"	"2020"	"Nebraska"	"31"	"Female"	"F"	Suppressed	969739	Suppressed
	"2020"	"2020"	"Nebraska"	"31"	"Male"	"M"	Suppressed	967813	Suppressed
	"2020"	"2020"	"Nevada"	"32"	"Female"	"F"	Suppressed	1565619	Suppressed
	"2020"	"2020"	"Nevada"	"32"	"Male"	"M"	19	1572640	Unreliable
	"2020"	"2020"	"New Hampshire"	"33"	"Female"	"F"	Suppressed	689281	Suppressed
	"2020"	"2020"	"New Hampshire"	"33"	"Male"	"M"	Suppressed	676994	Suppressed
	"2020"	"2020"	"New Jersey"	"34"	"Female"	"F"	21	4539322	0.4626
	"2020"	"2020"	"New Jersey"	"34"	"Male"	"M"	67	4343049	1.5427
	"2020"	"2020"	"New Mexico"	"35"	"Female"	"F"	23	1063860	2.1619
	"2020"	"2020"	"New Mexico"	"35"	"Male"	"M"	88	1042459	8.4416
	"2020"	"2020"	"New York"	"36"	"Female"	"F"	23	9946279	0.2312
	"2020"	"2020"	"New York"	"36"	"Male"	"M"	90	9390497	0.9584
	"2020"	"2020"	"North Carolina"	"37"	"Female"	"F"	15	5448241	Unreliable
	"2020"	"2020"	"North Carolina"	"37"	"Male"	"M"	64	5152582	1.2421
	"2020"	"2020"	"North Dakota"	"38"	"Female"	"F"	Suppressed	373494	Suppressed
	"2020"	"2020"	"North Dakota"	"38"	"Male"	"M"	Suppressed	391815	Suppressed
	"2020"	"2020"	"Ohio"	"39"	"Female"	"F"	22	5960556	0.3691
	"2020"	"2020"	"Ohio"	"39"	"Male"	"M"	56	5732661	0.9769
	"2020"	"2020"	"Oklahoma"	"40"	"Female"	"F"	Suppressed	2009602	Suppressed
	"2020"	"2020"	"Oklahoma"	"40"	"Male"	"M"	24	1971181	1.2175
	"2020"	"2020"	"Oregon"	"41"	"Female"	"F"	11	2139046	Unreliable
	"2020"	"2020"	"Oregon"	"41"	"Male"	"M"	30	2102461	1.4269
	"2020"	"2020"	"Pennsylvania"	"42"	"Female"	"F"	22	6516212	0.3376
	"2020"	"2020"	"Pennsylvania"	"42"	"Male"	"M"	48	6267042	0.7659
	"2020"	"2020"	"Rhode Island"	"44"	"Female"	"F"	Suppressed	542433	Suppressed
	"2020"	"2020"	"Rhode Island"	"44"	"Male"	"M"	17	514692	Unreliable
	"2020"	"2020"	"South Carolina"	"45"	"Female"	"F"	Suppressed	2694628	Suppressed
	"2020"	"2020"	"South Carolina"	"45"	"Male"	"M"	29	2523412	1.1492
	"2020"	"2020"	"South Dakota"	"46"	"Female"	"F"	Suppressed	442058	Suppressed
	"2020"	"2020"	"South Dakota"	"46"	"Male"	"M"	16	450659	Unreliable
	"2020"	"2020"	"Tennessee"	"47"	"Female"	"F"	13	3528814	Unreliable
	"2020"	"2020"	"Tennessee"	"47"	"Male"	"M"	49	3358020	1.4592
	"2020"	"2020"	"Texas"	"48"	"Female"	"F"	45	14779708	0.3045
	"2020"	"2020"	"Texas"	"48"	"Male"	"M"	130	14581051	0.8916
	"2020"	"2020"	"Utah"	"49"	"Female"	"F"	Suppressed	1612139	Suppressed
	"2020"	"2020"	"Utah"	"49"	"Male"	"M"	23	1637740	1.4044
	"2020"	"2020"	"Vermont"	"50"	"Female"	"F"	0	315355	Unreliable
	"2020"	"2020"	"Vermont"	"50"	"Male"	"M"	Suppressed	307992	Suppressed
	"2020"	"2020"	"Virginia"	"51"	"Female"	"F"	16	4363032	Unreliable
	"2020"	"2020"	"Virginia"	"51"	"Male"	"M"	34	4227531	0.8043
	"2020"	"2020"	"Washington"	"53"	"Female"	"F"	18	3840014	Unreliable
	"2020"	"2020"	"Washington"	"53"	"Male"	"M"	30	3853598	0.7785
	"2020"	"2020"	"West Virginia"	"54"	"Female"	"F"	Suppressed	900511	Suppressed
	"2020"	"2020"	"West Virginia"	"54"	"Male"	"M"	11	884276	Unreliable
	"2020"	"2020"	"Wisconsin"	"55"	"Female"	"F"	Suppressed	2928939	Suppressed
	"2020"	"2020"	"Wisconsin"	"55"	"Male"	"M"	30	2903716	1.0332
	"2020"	"2020"	"Wyoming"	"56"	"Female"	"F"	Suppressed	285437	Suppressed
	"2020"	"2020"	"Wyoming"	"56"	"Male"	"M"	Suppressed	296891	Suppressed
	"2021"	"2021"	"Alabama"	"01"	"Female"	"F"	14	2591778	Unreliable
	"2021"	"2021"	"Alabama"	"01"	"Male"	"M"	27	2448099	1.1029
	"2021"	"2021"	"Alaska"	"02"	"Female"	"F"	10	348469	Unreliable
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	19	384204	Unreliable
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	25	3642602	0.6863
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	111	3633714	3.0547
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	Suppressed	1532713	Suppressed
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	19	1493178	Unreliable
